dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-JPN,201705,5158,4.069531109724394,-10.0,23696,22929,5669,197,1380,405.0,0.0381930981000387,0.2675455602946878,0.0785188057386584
CHN-JPN,201706,3197,4.235017934332061,-10.0,13608,13137,3300,145,773,311.0,0.0453550203315608,0.2417891773537691,0.0972786987801063
CHN-JPN,201707,4987,4.240183011761293,-10.0,20168,19659,5261,230,1436,538.0,0.0461199117706035,0.2879486665329858,0.1078804892721074
CHN-JPN,201708,4922,4.385855362872178,-10.0,21078,20640,5152,329,1454,517.0,0.0668427468508736,0.2954083705810646,0.1050386021942299
CHN-JPN,201709,4703,4.093019840630227,-10.0,19685,19273,4970,209,1316,409.0,0.0444397193280884,0.2798213906017435,0.0869657665320008
CHN-JPN,201710,3477,3.919787991866056,-10.0,12916,12683,3636,158,747,235.0,0.0454414725337935,0.2148403796376186,0.0675870002876042
CHN-JPN,201711,5688,3.760204192076988,-10.0,20714,20361,5933,247,847,332.0,0.0434247538677918,0.1489099859353023,0.0583684950773558
CHN-JPN,201712,4043,4.806027019268162,-10.0,17441,16929,4185,395,956,526.0,0.0976997279248083,0.2364580756863715,0.1301014098441751
CHN-JPN,201801,5011,4.0419034032205925,-10.0,20885,20274,5348,198,1294,308.0,0.0395130712432648,0.2582318898423468,0.061464777489523
CHN-JPN,201802,2059,4.304230110827117,-10.0,8883,8737,2115,101,632,187.0,0.0490529383195726,0.3069451189898008,0.0908207867897037
CHN-JPN,201803,3680,3.696204629598025,-10.0,15190,14772,3993,116,727,169.0,0.0315217391304347,0.1975543478260869,0.0459239130434782
CHN-JPN,201804,5206,3.933785915241484,-10.0,21995,21261,5494,182,1075,336.0,0.0349596619285439,0.2064925086438724,0.0645409143296196
CHN-JPN,201805,7028,3.2676175205588764,-10.0,31834,30774,7582,134,1083,309.0,0.0190665907797381,0.1540978941377347,0.0439669891861126
CHN-JPN,201806,3431,3.912451840378335,-10.0,13146,12951,3501,141,620,241.0,0.0410958904109589,0.1807053337219469,0.0702419119790148
CHN-JPN,201807,3242,4.177931268518638,-10.0,13747,13513,3467,160,798,309.0,0.0493522516964836,0.2461443553362122,0.095311536088834
CHN-JPN,201808,4234,4.054932198490979,-10.0,18564,17908,4526,176,929,274.0,0.0415682569674067,0.2194142654700047,0.064714218233349
CHN-JPN,201809,3687,3.947753812941763,-10.0,15192,14896,3777,118,854,228.0,0.0320043395714673,0.231624627068077,0.0618388934092758
CHN-JPN,201810,8812,3.436873370090257,-10.0,37983,37213,9411,161,1563,294.0,0.018270540172492,0.1773717657739446,0.0333635950975941
CHN-JPN,201811,3976,3.850979920146015,-10.0,16014,15815,4210,133,827,221.0,0.0334507042253521,0.2079979879275653,0.0555835010060362
CHN-JPN,201812,3545,4.559239203454744,-10.0,15198,14848,3694,238,1191,591.0,0.0671368124118476,0.3359661495063469,0.1667136812411847
CHN-JPN,201901,2277,4.360947210034051,-10.0,8761,8639,2366,126,604,220.0,0.0553359683794466,0.2652613087395696,0.0966183574879227
CHN-JPN,201902,2405,4.241136037163164,-10.0,9852,9657,2454,157,539,232.0,0.0652806652806652,0.2241164241164241,0.0964656964656964
CHN-JPN,201903,2019,4.246293448395765,-10.0,8570,8463,2059,101,490,172.0,0.0500247647350173,0.242694403169886,0.0851906884596334
CHN-JPN,201904,3997,3.704175136124548,-10.0,16636,16303,4279,111,697,217.0,0.0277708281210908,0.1743807855891919,0.0542907180385289
CHN-JPN,201905,4368,3.974858742911693,-10.0,18325,17933,4627,151,964,373.0,0.034569597069597,0.2206959706959707,0.0853937728937729
CHN-JPN,201906,8637,3.3603090956145367,-10.0,33950,33568,9512,127,1232,313.0,0.0147041796920226,0.1426421211068658,0.0362394349890008
CHN-JPN,201907,4218,3.807272724912757,-10.0,18007,17749,4400,131,847,247.0,0.0310573731626363,0.2008060692271218,0.0585585585585585
CHN-JPN,201908,4427,3.680873197410037,-10.0,18827,18395,4652,104,854,216.0,0.0234922069121301,0.1929071606053761,0.0487915066636548
CHN-JPN,201909,2425,4.480687890487822,-10.0,10665,10518,2550,173,475,239.0,0.071340206185567,0.1958762886597938,0.0985567010309278
CHN-JPN,201910,2750,4.073175467961575,-10.0,11505,11445,2846,109,542,232.0,0.0396363636363636,0.1970909090909091,0.0843636363636363
CHN-JPN,201911,3599,3.993737885440479,-10.0,15274,14976,3701,91,783,363.0,0.0252848013337038,0.2175604334537371,0.1008613503751042
